"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Znrf1",0,1.40123184798629,0.879,0.299,0,"10","Znrf1"
"Cd7",0,1.39035190134976,0.533,0.067,0,"10","Cd7"
"Cdh20",0,1.3902520623229,0.532,0.005,0,"10","Cdh20"
"Arhgef28",0,1.38615377610696,0.742,0.065,0,"10","Arhgef28"
"Kit",0,1.38229293062405,0.845,0.082,0,"10","Kit"
"Sec11c",0,1.35714535730887,0.953,0.38,0,"10","Sec11c"
"Rbl2",0,1.34111928479284,0.889,0.251,0,"10","Rbl2"
"Runx3",0,1.32985348467899,0.817,0.165,0,"10","Runx3"
"Chst11",0,1.32937835496604,0.872,0.173,0,"10","Chst11"
"Adam121",0,1.32904237459296,0.859,0.131,0,"10","Adam12"
"Nebl",0,1.31446095071171,0.611,0.044,0,"10","Nebl"
"Slc6a13",0,1.2491023288574,0.725,0.021,0,"10","Slc6a13"
"Xlr4a",0,1.23816730006048,0.764,0.041,0,"10","Xlr4a"
"Marchf31",0,1.21491422785356,0.753,0.156,0,"10","Marchf3"
"Fcer1g2",0,1.19846639524277,0.958,0.185,0,"10","Fcer1g"
"Il18rap",0,1.19841489337412,0.777,0.06,0,"10","Il18rap"
"Gria3",0,1.18296576619183,0.643,0.121,0,"10","Gria3"
"Pxdc1",0,1.18130188894461,0.729,0.144,0,"10","Pxdc1"
"Maf1",0,1.15490300205399,0.834,0.194,0,"10","Maf"
"Rgcc",0,1.12341061294709,0.722,0.118,0,"10","Rgcc"
"Ikzf21",0,1.11338519685078,0.89,0.178,0,"10","Ikzf2"
"Tox2",0,1.10101709585804,0.583,0.01,0,"10","Tox2"
"Lta",0,1.09115146357441,0.488,0.054,0,"10","Lta"
"Psd2",0,1.08817204694789,0.606,0.005,0,"10","Psd2"
"Gramd1b",0,1.08781915894607,0.811,0.194,0,"10","Gramd1b"
"Xlr4b",0,1.08532779043614,0.712,0.051,0,"10","Xlr4b"
"Dgat1",0,1.05981990812585,0.578,0.088,0,"10","Dgat1"
"Eef2k",0,1.0258405785873,0.725,0.111,0,"10","Eef2k"
"Ccr6",0,1.02523923817626,0.622,0.117,0,"10","Ccr6"
"Colgalt2",0,1.00791033732642,0.575,0.013,0,"10","Colgalt2"
"Bcl2",2.47967768263732e-298,1.99580891309715,0.903,0.376,4.74610308456784e-294,"10","Bcl2"
"Ly6e1",5.33524912429408e-298,1.59984580984087,0.99,0.471,1.02116668238989e-293,"10","Ly6e"
"Camk41",7.50259369546187e-296,1.16015381493686,0.758,0.169,1.4359964333114e-291,"10","Camk4"
"Ppm1h1",1.16655100356522e-295,1.40419888239467,0.922,0.31,2.23277862082384e-291,"10","Ppm1h"
"Oaz1",7.09375772427537e-283,1.21086241711628,1,0.923,1.35774522842631e-278,"10","Oaz1"
"Itm2b1",4.85154849377388e-277,1.6554589138395,0.998,0.866,9.28586381708321e-273,"10","Itm2b"
"Cd4",1.81319762269238e-271,1.46877003250194,0.493,0.089,3.47046024983321e-267,"10","Cd4"
"Il2rg",6.28537712310028e-265,1.08400808208467,0.884,0.293,1.20302118136139e-260,"10","Il2rg"
"Fnbp1",7.26348024560207e-260,1.422522497198,0.984,0.549,1.39023011900824e-255,"10","Fnbp1"
"Tagln21",3.69065045988949e-257,1.45431744811277,0.964,0.502,7.06390498022848e-253,"10","Tagln2"
"Selenop1",7.74865374625133e-257,1.01815404630962,0.935,0.336,1.4830923270325e-252,"10","Selenop"
"Ramp11",1.884963767073e-244,1.19885612383084,0.672,0.18,3.60782065017773e-240,"10","Ramp1"
"Mgat5",7.1619173642038e-233,1.21462548645849,0.918,0.411,1.37079098350861e-228,"10","Mgat5"
"Ncor1",2.4855642939547e-226,1.10224231755981,0.997,0.868,4.7573700586293e-222,"10","Ncor1"
"Tnik1",1.13142079190267e-223,1.08729451000288,0.892,0.334,2.16553939570171e-219,"10","Tnik"
"Smap2",6.32714390417262e-217,1.12712359291237,0.919,0.423,1.21101534325864e-212,"10","Smap2"
